game_id;team_id;team_name;pts_tot;pts_reb;pts_ast;pts_blk;best_at_pts;best_at_reb;best_at_ast;best_at_blk
1038432;17;Milwaukee Bucks;123;51;29;3;Giannis Antetokounmpo;Damian Lillard;Damian Lillard;Brook Lopez
1038505;1;Atlanta Hawks;99;47;21;5;Dejounte Murray;Clint Capela;Dejounte Murray;Bogdan Bogdanovic
1038780;1;Atlanta Hawks;115;32;25;5;Dejounte Murray;Mouhamed Gueye;Trae Young;Mouhamed Gueye
1037595;1;Atlanta Hawks;110;42;24;1;Trae Young;Clint Capela;Trae Young;Jalen Johnson
1038547;24;Phoenix Suns;112;51;27;3;Devin Booker;Jusuf Nurkic;Bradley Beal;Bradley Beal
7996365;24;Phoenix Suns;106;40;26;5;Devin Booker;Jusuf Nurkic;Devin Booker;Chimezie Metu
1037951;14;Los Angeles Lakers;109;41;29;3;Anthony Davis;Anthony Davis;LeBron James;Anthony Davis
1038699;17;Milwaukee Bucks;101;44;26;10;Brook Lopez;Brook Lopez;Giannis Antetokounmpo;Giannis Antetokounmpo
1038787;14;Los Angeles Lakers;124;40;32;4;Anthony Davis;Anthony Davis;LeBron James;Colin Castleton
1037738;17;Milwaukee Bucks;118;53;23;5;Giannis Antetokounmpo;Giannis Antetokounmpo;Pat Connaughton;Brook Lopez
1038059;1;Atlanta Hawks;141;49;30;5;Jalen Johnson;Clint Capela;Trae Young;Clint Capela
15882414;17;Milwaukee Bucks;113;42;26;4;Brook Lopez;Khris Middleton;Andre Jackson Jr.;Thanasis Antetokounmpo
1038461;14;Los Angeles Lakers;114;31;33;4;LeBron James;Anthony Davis;Austin Reaves;Anthony Davis
1038545;1;Atlanta Hawks;102;38;19;6;Dejounte Murray;Clint Capela;Bogdan Bogdanovic;Bogdan Bogdanovic
1038269;24;Phoenix Suns;136;42;35;6;Kevin Durant;Jusuf Nurkic;Devin Booker;Kevin Durant
1038493;14;Los Angeles Lakers;120;34;25;5;LeBron James;Anthony Davis;LeBron James;Taurean Prince
1038231;17;Milwaukee Bucks;100;49;21;4;Giannis Antetokounmpo;Brook Lopez;Giannis Antetokounmpo;Brook Lopez
1038472;17;Milwaukee Bucks;113;46;20;3;Damian Lillard;Bobby Portis;Damian Lillard;Brook Lopez
1038722;1;Atlanta Hawks;110;38;30;2;Clint Capela;Clint Capela;Dejounte Murray;Bogdan Bogdanovic
1037850;14;Los Angeles Lakers;133;49;27;10;D'Angelo Russell;Anthony Davis;D'Angelo Russell;Anthony Davis
1038204;24;Phoenix Suns;115;39;32;5;Kevin Durant;Drew Eubanks;Kevin Durant;Kevin Durant
1038735;14;Los Angeles Lakers;117;41;27;2;Rui Hachimura;Jaxson Hayes;D'Angelo Russell;Jaxson Hayes
